timestamp,predicted_power,实测功率
2024/8/1 0:00,20811.531,19727
2024/8/1 0:15,18052.986,18408
2024/8/1 0:30,34974.387,35736
2024/8/1 0:45,34987.78,36153
2024/8/1 1:00,36330.027,34454
2024/8/1 1:15,35829.668,36382
2024/8/1 1:30,36669.504,35594
2024/8/1 1:45,35781.418,35070
2024/8/1 2:00,31514.809,33998
2024/8/1 2:15,32211.861,32449
2024/8/1 2:30,33130.86,32438
2024/8/1 2:45,33865.168,34350
2024/8/1 3:00,31546.025,34536
2024/8/1 3:15,35045.125,33167
2024/8/1 3:30,36746.36,34945
2024/8/1 3:45,35306.605,33667
2024/8/1 4:00,34275.94,34369
2024/8/1 4:15,33708,33180
2024/8/1 4:30,31372.848,30374
2024/8/1 4:45,31273.701,29895
2024/8/1 5:00,31726.89,31048
2024/8/1 5:15,32433.611,32382
2024/8/1 5:30,33314.668,34640
2024/8/1 5:45,33519.547,35330
2024/8/1 6:00,30211.047,30133
2024/8/1 6:15,30738.588,30047
2024/8/1 6:30,30738.588,29917
2024/8/1 6:45,30986.8,29862
2024/8/1 7:00,29401.918,29725
2024/8/1 7:15,30209.533,30056
2024/8/1 7:30,28939.438,28913
2024/8/1 7:45,29200.623,28869
2024/8/1 8:00,23057.865,23404
2024/8/1 8:15,22381.424,24113
2024/8/1 8:30,19659.676,18293
2024/8/1 8:45,17548.05,14503
2024/8/1 9:00,16027.018,16934
2024/8/1 9:15,16508.686,16741
2024/8/1 9:30,16199.447,17942
2024/8/1 9:45,16236.667,15061
2024/8/1 10:00,15602.475,15524
2024/8/1 10:15,16440.777,15617
2024/8/1 10:30,15685.038,15427
2024/8/1 10:45,15463.43,15532
2024/8/1 11:00,16558.139,15530
2024/8/1 11:15,17934.068,15241
2024/8/1 11:30,22296.164,25249
2024/8/1 11:45,21312.828,23622
2024/8/1 12:00,20825.281,23666
2024/8/1 12:15,19911.72,15526
2024/8/1 12:30,22138.766,20615
2024/8/1 12:45,24486.371,25189
2024/8/1 13:00,24832.186,25329
2024/8/1 13:15,24832.186,25635
2024/8/1 13:30,25982.82,25102
2024/8/1 13:45,25982.82,28567
2024/8/1 14:00,30902.5,31364
2024/8/1 14:15,31492.748,34461
2024/8/1 14:30,32702.725,34506
2024/8/1 14:45,33963.832,34698
2024/8/1 15:00,33588.457,31386
2024/8/1 15:15,35240.316,37614
2024/8/1 15:30,33802.11,34079
2024/8/1 15:45,35114.44,34065
2024/8/1 16:00,36366.832,34336
2024/8/1 16:15,35161.668,36991
2024/8/1 16:30,35570.703,35729
2024/8/1 16:45,35984.97,35590
2024/8/1 17:00,37721.523,37795
2024/8/1 17:15,37605.887,38386
2024/8/1 17:30,37443.44,36532
2024/8/1 17:45,37884.39,36665
2024/8/1 18:00,37575.94,36727
2024/8/1 18:15,37679.234,35569
2024/8/1 18:30,40533.863,41386
2024/8/1 18:45,38440.36,40418
2024/8/1 19:00,41940.156,41887
2024/8/1 19:15,41435.777,42531
2024/8/1 19:30,42739.43,42702
2024/8/1 19:45,43177.375,42696
2024/8/1 20:00,42848.918,42566
2024/8/1 20:15,42848.918,42612
2024/8/1 20:30,43053.594,42416
2024/8/1 20:45,42776.72,42716
2024/8/1 21:00,42669.754,42444
2024/8/1 21:15,42574.35,42575
2024/8/1 21:30,41088.777,42732
2024/8/1 21:45,42066.676,42609
2024/8/1 22:00,42999.348,42535
2024/8/1 22:15,42999.348,42008
2024/8/1 22:30,42452.68,42744
2024/8/1 22:45,42712.617,42241
2024/8/1 23:00,41648.43,42482
2024/8/1 23:15,40994.49,40519
2024/8/1 23:30,40550.41,40697
2024/8/1 23:45,41301.297,40528
2024/8/2 0:00,40032.38,40656
2024/8/2 0:15,39776.89,40732
2024/8/2 0:30,40950.926,40565
2024/8/2 0:45,41338.19,40608
2024/8/2 1:00,40539.723,40746
2024/8/2 1:15,40733.125,40125
2024/8/2 1:30,40045.336,40369
2024/8/2 1:45,39860.418,40339
2024/8/2 2:00,40515.434,40623
2024/8/2 2:15,40533.414,40465
2024/8/2 2:30,40283.773,39537
2024/8/2 2:45,38887.496,39043
2024/8/2 3:00,35190.414,35381
2024/8/2 3:15,36575.68,36621
2024/8/2 3:30,34997.195,34429
2024/8/2 3:45,33988.68,32935
2024/8/2 4:00,34000.133,33356
2024/8/2 4:15,34121.863,32836
2024/8/2 4:30,36651.54,37848
2024/8/2 4:45,37254.656,38737
2024/8/2 5:00,38844.113,39267
2024/8/2 5:15,38640.35,39668
2024/8/2 5:30,35231.426,38744
2024/8/2 5:45,33075.6,33338
2024/8/2 6:00,33248.043,33166
2024/8/2 6:15,31360.945,31363
2024/8/2 6:30,29890.174,29212
2024/8/2 6:45,27081.186,26527
2024/8/2 7:00,25673.293,24065
2024/8/2 7:15,19958.814,21203
2024/8/2 7:30,18862.725,18421
2024/8/2 7:45,17991.05,16878
2024/8/2 8:00,16965.963,16026
2024/8/2 8:15,18424.996,19755
2024/8/2 8:30,16977.336,18783
2024/8/2 8:45,16082.321,15388
2024/8/2 9:00,12127.5,14546
2024/8/2 9:15,11555.561,11622
2024/8/2 9:30,10589.882,10961
2024/8/2 9:45,10394.145,9783
2024/8/2 10:00,10318.501,8994
2024/8/2 10:15,10704,9670
2024/8/2 10:30,11171.145,12084
2024/8/2 10:45,13978.792,13604
2024/8/2 11:00,13206.02,12360
2024/8/2 11:15,12535.451,12439
2024/8/2 11:30,13049.16,14602
2024/8/2 11:45,13049.16,12976
2024/8/2 12:00,9692.564,11553
2024/8/2 12:15,8381.133,8912
2024/8/2 12:30,7386.182,5603
2024/8/2 12:45,7386.182,5595
2024/8/2 13:00,6053.1143,7043
2024/8/2 13:15,7033.8438,6501
2024/8/2 13:30,6630.801,5272
2024/8/2 13:45,7788.0356,6868
2024/8/2 14:00,6812.0796,5669
2024/8/2 14:15,8921.136,6983
2024/8/2 14:30,9510.701,8883
2024/8/2 14:45,12120.329,11118
2024/8/2 15:00,15163.101,12925
2024/8/2 15:15,14541.094,13609
2024/8/2 15:30,14916.057,13328
2024/8/2 15:45,13981.112,13650
2024/8/2 16:00,16417.742,13466
2024/8/2 16:15,15719.275,13570
2024/8/2 16:30,15719.275,13605
2024/8/2 16:45,23809.152,26263
2024/8/2 17:00,27286.518,26117
2024/8/2 17:15,24670.021,26011
2024/8/2 17:30,24670.021,26169
2024/8/2 17:45,25935.465,26169
2024/8/2 18:00,28347.793,26333
2024/8/2 18:15,28347.793,25761
2024/8/2 18:30,28347.793,25867
2024/8/2 18:45,28347.793,34762
2024/8/2 19:00,33027.42,34964
2024/8/2 19:15,34682.957,36622
2024/8/2 19:30,38739.406,37836
2024/8/2 19:45,40341.234,41881
2024/8/2 20:00,41855.105,43224
2024/8/2 20:15,40384.727,41511
2024/8/2 20:30,40661.887,42006
2024/8/2 20:45,41022.465,41201
2024/8/2 21:00,40960.656,40754
2024/8/2 21:15,36374.15,34213
2024/8/2 21:30,37399.81,35241
2024/8/2 21:45,34607.223,34253
2024/8/2 22:00,37660.152,36379
2024/8/2 22:15,37491.574,36055
2024/8/2 22:30,39439.297,38928
2024/8/2 22:45,39439.297,42115
2024/8/2 23:00,40795.434,43433
2024/8/2 23:15,40795.434,41067
2024/8/2 23:30,39844.195,41067
2024/8/2 23:45,39844.195,38170
2024/8/3 0:00,35681.945,34552
2024/8/3 0:15,36844.375,35014
2024/8/3 0:30,38031.67,36685
2024/8/3 0:45,38527.6,38169
2024/8/3 1:00,39311.8,39330
2024/8/3 1:15,39008.2,39185
2024/8/3 1:30,40237.055,41249
2024/8/3 1:45,40555.816,42394
2024/8/3 2:00,40038.215,42179
2024/8/3 2:15,38417.914,39009
2024/8/3 2:30,37922.27,37540
2024/8/3 2:45,36379.41,36830
2024/8/3 3:00,32383.395,34382
2024/8/3 3:15,31102.502,32588
2024/8/3 3:30,31102.502,30885
2024/8/3 3:45,31102.502,27593
2024/8/3 4:00,28825.559,24911
2024/8/3 4:15,29948.66,28809
2024/8/3 4:30,33705.625,32633
